,u,v,h,w,X,Y,Z,type,n_frame
599,590,196,12,11,-1,24,3,yellow,39
600,713,253,42,31,44,684,46,yellow,40
601,839,322,69,48,4,28,0,yellow,40
602,353,274,38,25,-135,729,39,blue,40
603,444,241,25,17,-37,297,24,blue,40
604,724,215,21,15,43,667,67,yellow,40
605,238,351,60,44,-146,562,-5,blue,40
606,710,235,27,20,10,176,15,yellow,40
607,522,221,19,14,-59,799,77,blue,40
608,733,214,22,15,53,747,76,yellow,40
609,761,205,18,12,52,589,64,yellow,40
610,789,201,16,11,25,237,27,yellow,40
611,857,196,16,11,122,787,91,yellow,40
612,595,207,18,12,-7,286,31,yellow,40
613,648,200,15,11,5,477,54,yellow,40
614,701,196,14,11,34,732,85,yellow,40
615,821,198,17,12,9,69,8,yellow,40
616,979,250,32,23,0,2,0,yellow,41
617,1013,237,24,16,186,692,58,yellow,41
618,557,271,41,30,-36,843,45,blue,41
619,1085,410,84,62,140,406,-24,yellow,41
